Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
2020-03-12,22:23,26.425,21.31,6.12
2020-03-12,22:28,30.982,18.21,5.56
2020-03-13,20:00,34.682,15.68,6.07
2020-03-13,20:15,27.365,10.28,4.45
2020-03-13,20:30,33.17,18.30,5.92
2020-03-13,20:45,41.823,17.15,6.24
2020-03-13,21:00,32.399,18.03,5.94
2020-03-13,21:15,27.214,16.33,6.03
2020-03-13,21:30,27.057,23.80,5.77
2020-03-13,21:45,43.285,23.83,6.22
2020-03-13,22:00,30.871,18.29,5.97
2020-03-13,22:15,33.716,14.55,5.72
2020-03-13,22:30,49.315,6.14,6.02
2020-03-13,22:45,32.942,19.65,5.42
2020-03-13,23:00,28.616,18.59,5.38
2020-03-13,23:15,29.724,19.74,6.29
2020-03-13,23:30,40.643,18.62,6.01
2020-03-13,23:45,34.002,23.76,5.90
2020-03-14,00:00,27.704,22.49,6.29
2020-03-14,00:15,33.81,21.06,5.02
2020-03-14,00:30,28.401,26.25,6.28
2020-03-14,00:45,46.483,20.71,6.15
2020-03-14,01:00,38.713,16.86,5.89
2020-03-14,01:15,34.264,25.33,6.27
2020-03-14,01:30,34.205,20.01,6.27
2020-03-14,01:45,31.741,20.01,5.87
2020-03-14,02:00,29.559,18.63,6.03
2020-03-14,02:15,32.279,24.53,6.33
2020-03-14,02:30,33.506,20.17,6.06
2020-03-14,02:45,40.089,24.82,6.25
2020-03-14,03:00,35.779,20.78,6.11
2020-03-14,03:15,28.132,20.16,6.15
2020-03-14,03:30,30.189,17.68,5.56
2020-03-14,03:45,30.99,26.11,5.44
2020-03-14,04:00,27.28,14.99,6.10
2020-03-14,04:15,27.809,19.18,6.40
2020-03-14,04:30,26.281,20.63,6.12
2020-03-14,04:45,33.112,15.37,5.49
2020-03-14,05:00,31.203,25.35,6.13
2020-03-14,05:15,29.116,13.92,6.03
2020-03-14,05:30,37.603,18.37,6.33
2020-03-14,05:45,34.881,19.91,5.99
2020-03-14,06:00,38.234,20.25,6.06
2020-03-14,06:15,27.539,18.37,6.04
2020-03-14,06:30,33.779,22.06,4.70
2020-03-14,06:45,32.379,21.88,6.19
2020-03-14,07:00,25.842,22.74,5.94
2020-03-14,07:15,33.752,21.93,5.30
2020-03-14,07:30,33.406,24.88,5.81
2020-03-14,07:45,36.284,24.01,6.20
2020-03-14,08:00,24.906,25.71,6.00
2020-03-14,08:15,28.155,23.65,6.19
2020-03-14,08:30,33.538,25.27,6.25
2020-03-14,08:45,28.714,19.56,5.98
2020-03-14,09:00,46.789,18.79,6.29
2020-03-14,09:15,33.105,22.65,6.34
2020-03-14,09:30,29.375,25.32,6.28
2020-03-14,09:45,29.6,24.17,6.22
2020-03-14,10:00,33.751,25.51,6.09
2020-03-14,10:15,28.49,23.39,5.93
2020-03-14,10:30,33.9,24.43,5.82
2020-03-14,10:45,24.664,27.45,6.16
2020-03-14,11:00,25.711,25.02,5.82
2020-03-14,11:15,34.893,25.74,6.07
2020-03-14,11:30,29.034,31.99,6.15
2020-03-14,11:45,33.464,24.06,6.16
2020-03-14,12:00,26.335,31.97,6.11
2020-03-14,12:15,29.697,32.67,5.85
2020-03-14,12:30,27.336,28.00,4.17
2020-03-14,12:45,35.167,32.77,6.04
2020-03-14,13:00,27.908,32.07,5.92
2020-03-14,13:15,29.064,31.40,5.96
2020-03-14,13:30,28.473,31.02,6.26
2020-03-14,13:45,31.998,24.48,6.39
2020-03-14,14:00,30.847,23.97,6.30
2020-03-14,14:15,30.623,30.04,6.12
2020-03-14,14:30,29.793,26.27,5.92
2020-03-14,14:45,30.692,28.22,5.96
2020-03-14,15:00,34.21,21.50,5.94
2020-03-14,15:15,32.935,24.49,6.44
2020-03-14,15:30,41.776,26.28,5.96
2020-03-14,15:45,33.08,26.15,6.01
2020-03-14,16:00,37.852,25.35,6.24
2020-03-14,16:15,35.479,19.88,5.94
2020-03-14,16:30,26.291,34.06,6.29
2020-03-14,16:45,30.364,33.86,6.19
2020-03-14,17:00,33.259,29.83,5.83
2020-03-14,17:15,32.72,28.99,5.92
2020-03-14,17:30,30.82,30.15,5.09
2020-03-14,17:45,39.71,22.93,5.99
2020-03-14,18:00,32.128,36.50,6.17
2020-03-14,18:15,29.238,31.73,5.90
2020-03-14,18:30,28.086,21.43,6.27
2020-03-14,18:45,31.786,29.94,5.82
2020-03-14,19:00,31.436,20.76,6.09
